level_id,level_index,level_name,level_position
1,2,Unnamed Level,Above Ground
10,-2,"Zwischengeschoss U-Bahn, Treppenabsatz U2",Below Ground
100,2,S Bahnsteig,Above Ground
101,-4,U-Bahnsteig,Below Ground
102,1,Bahnsteige DB & S-Bahn,Above Ground
103,-3,"U-Bahnverteiler, UG Bahnhofshalle",Below Ground
104,-2,"S-Bahnverteiler, Unterführung zur U-Bahn",Below Ground
105,-1,Treppenpodeste,Below Ground
106,-1,Bahnsteigebene,Below Ground
107,2,Bahnsteigebene,Above Ground
108,-1,Unterführung,Below Ground
109,1,Fußgängerunterführung,Above Ground
11,1,Mittelgeschoss und Treppenabsatz,Above Ground
110,0,Straßen- und Bahnsteigebene,Ground Level
111,-3,Zwischengeschoss Unterführung,Below Ground
112,-4,Unterführung,Below Ground
113,-1,Zwischengeschoss Tram,Below Ground
114,-1,Oberes Zwischengeschoss,Below Ground
115,0,Bahnsteigebene,Ground Level
116,-1,Podest,Below Ground
117,1,Tunnel,Above Ground
118,2,Fußgängerbrücke,Above Ground
119,-1,Unterführungsebene,Below Ground
12,-1,"Verteiler, Bahnsteig U2, Untergeschoss Empfangshalle, Zwischengeschoss Unterführung",Below Ground
120,-1,Regionalbahn,Below Ground
121,2,Bahnsteige,Above Ground
122,0,Straßenebene/ Unterführung,Ground Level
123,1,Zwischengeschoss der Treppe in der Unterführung,Above Ground
124,-1,Zwischenebene,Below Ground
125,-5,Unterführung,Below Ground
126,-4,"Velodrom, Schwimm- und Sprunghalle",Below Ground
127,-2,Bahnsteig,Below Ground
128,0,Straßenebene und Bahnhofsgebäude,Ground Level
129,-1,Treppenpodest im Eingangsgebäude,Below Ground
13,-3,"Bahnsteig U8, Zwischengeschoss U5 U2 und Zwischengeschoss U5 Verteiler",Below Ground
130,3,S-Bahnsteig S4,Above Ground
131,1,S-Bahnsteig S1,Above Ground
132,2,Zwischengeschoss,Above Ground
133,-1,Bahnsteig,Below Ground
134,1,Dresselsteg,Above Ground
135,-3,Bahnsteigebene,Below Ground
136,1,Zwischengeschoss beim Zugang Priesterweg,Above Ground
137,0,untere Bahnsteigebene,Ground Level
138,1,obere Bahnsteigebene,Above Ground
139,0,Straßenebene und Bahnsteigebene,Ground Level
14,-5,Bahnsteige der U5,Below Ground
140,0,Durchgang,Ground Level
141,1,Bahnhofsgebäude,Above Ground
142,-1,Fußgängerunterführung,Below Ground
143,-1,Personenüberführung,Below Ground
144,-2,Busunterführung,Below Ground
145,-1,Unterführungen,Below Ground
146,1,Zwischengeschoss Bahnhofshalle Nord,Above Ground
147,2,Bahnsteigebene / Park&Ride,Above Ground
148,0,Bahnhofsplatz,Ground Level
149,1,Treppenpodeste,Above Ground
15,1,Regional und S-Bahnsteig,Above Ground
150,1,Ringbahnsteigebene,Above Ground
151,-1,Gebäuderückseite,Below Ground
152,1,Bahnsteig + ZOB,Above Ground
153,-1,Bahnsteigebene und Tramsteige,Below Ground
154,1,Zugangsbereich Autobahnbrücke,Above Ground
155,3,Bahnsteigebene,Above Ground
156,2,Eingangshalle,Above Ground
157,1,Zugangsbereich Wiltbergstraße,Above Ground
158,0,Vorplatz und Bahnsteige,Ground Level
159,0,Straßenbereich,Ground Level
16,-4,Zwischengeschoss U5 U8,Below Ground
160,-1,Fähranleger,Below Ground
161,0,Straßen- und Bahnseigebene,Ground Level
162,1,Bahnhofspassage,Above Ground
163,0,Bahnsteig- und Straßenebene,Ground Level
164,-2,Tunnel,Below Ground
165,1,Bahnsteig Gleis 1 und 3,Above Ground
166,0,Straßenebene/Bahnhofsvorplatz,Ground Level
167,2,Bahnsteig Gleis 2,Above Ground
168,5,Empfangsgebäude,Above Ground
169,0,"Straßenebene, Bahnhofshalle und Bahnsteige",Ground Level
17,-2,Ladenstraße und Zwischengeschoss U8,Below Ground
170,-1,Fußgängertunnel/ Unterführung,Below Ground
171,1,Bahnsteig Gleis 5,Above Ground
172,-2,Unterführung,Below Ground
173,1,Bahnsteig Gleis 1,Above Ground
174,2,Obere Bahnsteige,Above Ground
175,1,Überführung,Above Ground
176,1,Bahnsteig Gleis 3,Above Ground
177,1,Straßenbrücke,Above Ground
178,-3,Unterführung Bahnsteig,Below Ground
179,-2,UNterführung Zugang Bergstraße,Below Ground
18,-1,U-Bahnsteigebene,Below Ground
180,0,Straßen- & Bahnsteigebene,Ground Level
181,1,Bahnsteige,Above Ground
182,0,Straßenniveau,Ground Level
183,1,Bahnsteig Gleis 1a,Above Ground
184,2,Bahnsteig Gleis 1b,Above Ground
185,0,Straßenebene / Bahnsteig Gleis 2,Ground Level
186,1,Empfangshalle / Bahnsteig 1,Above Ground
187,1,Gleis 2,Above Ground
188,0,Straßenebene/Gleis 1,Ground Level
189,0,Straßenebene/Bahnsteig,Ground Level
19,-3,Große Halle + S-Bahnsteige,Below Ground
190,2,Überführung obere Ebene,Above Ground
191,1,Bahnsteig Gleis 2,Above Ground
